Name,Rating,Number of Reviews,Price,Link
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",3.9 out of 5 stars,"8,837",549,https://www.amazon.in//POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685090239&sprefix=ba%2Caps%2C283&sr=8-36
,3.9 out of 5 stars,"8,837",549,
,3.9 out of 5 stars,"8,837",549,
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",4.5 out of 5 stars,51,"7,499",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYnRmOjIwMTEwMTgxNTEwOTk4OjowOjo&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
,4.5 out of 5 stars,51,"7,499",
,4.5 out of 5 stars,51,"7,499",
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.1 out of 5 stars,440,"1,600",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxNDc3NjE0OTY4MDU3NzE5OjE2ODUwOTAyMzk6c3BfYnRmOjIwMTI0MzExMDI0ODk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685090239%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
,4.1 out of 5 stars,440,"1,600",
,4.1 out of 5 stars,440,"1,600",
,,,,
,,,,
,,,,
,,,,
,,,,
